"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Participant roster ID","-4","-4","T","","","","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","EXAMDATE","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","The scan date for the image processed","-4","-4","D","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","COLPROT","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Study protocol of data collection","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","VISCODE","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","VISCODE2","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","LONISID","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","The LONI study UID for the image processed","-4","-4","T","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","LONIUID","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","The LONI series UID for the image processed.","-4","-4","T","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","IMAGEUID","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","The ImageUID for the image processed.","-4","-4","T","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","RUNDATE","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","VERSION","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","STATUS","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","","-4","-4","T","","","","-4","-4","","complete/partial","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","OVERALLQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","An overall quality rating. Refer to additional QC variables for Partial rating.","-4","-4","T","","","","-4","-4","","Pass/Fail/Partial","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","TEMPQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of temporal lobe. Fail affects the following regions: LeftTemporalPole (ST60); RightTemporalPole (ST119); LeftFusiform (ST26); RightFusiform (ST85); LeftSuperiorTemporal (ST58); RightSuperiorTemporal (ST117); LeftInferiorTemporal (ST32); RightInferiorTemporal (ST91); LeftMiddleTemporal (ST40); RightMiddleTemporal (ST99)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","FRONTQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of the frontal lobe. Fail affects the following regions: LeftFrontalPole (ST25); RightFrontalPole (ST84); LeftPrecentral (ST51); RightPrecentral (ST110); LeftSuperiorFrontal (ST56); RightSuperiorFrontal (ST115); LeftCaudalMiddleFrontal (ST15); RightCaudalMiddleFrontal (ST74); LeftRostralMiddleFrontal (ST55); RightRostralMiddleFrontal (ST114); LeftMedialOrbitofrontal (ST39); RightMedialOrbitofrontal (ST98)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","PARQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of the parietal lobe. Fail affects the following regions: LeftPostcentral (ST49); RightPostcentral (ST108); LeftSuperiorParietal (ST57); RightSuperiorParietal (ST116); LeftSupraMarginal (ST59); RightSupraMarginal (ST118); LeftParacentral (ST43); RightParacentral (ST102); LeftInferiorParietal (ST31); RightInferiorParietal (ST90)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","INSULAQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of the insula. Fail affects the following regions: LeftInsula (ST129); RightInsula (ST130)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","OCCQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of the occipital lobe. Fail affects the following regions: LeftLingual (ST38); RightLingual (ST97); LeftLateralOccipital (ST35); RightLateralOccipital (ST94); LeftPericalcarine (ST48); RightPericalcarine (ST107); LeftCuneus (ST23); RightCuneus (ST82)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","BGQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of the basal ganglia. Fail affects the following regions: LeftPutamen (ST53); RightPutamen (ST112); LeftCaudate (ST16); RightCaudate (ST75); LeftPallidum (ST42); RightPallidum (ST101)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","CWMQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of the cerebral WM. Fail affects the following regions: LeftCerebralWM (ST20); RightCerebralWM (ST79); LeftCorticalWM (ST150); RightCorticalWM (ST151); CorticalWM (ST152); LeftHemisphereWM (ST28); RightHemisphereWM (ST87)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","VENTQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of the ventricles. Fail affects the following regions: LeftLateralVentricle (ST37); RightLateralVentricle (ST96); LeftInferiorLateralVentricle (ST30); RightInferiorLateralVentricle (ST89); ThirdVentricle (ST127); FourthVentricle (ST9); FifthVentrical (ST8); LeftChoroidPlexus (ST21); RightChoroidPlexus (ST80)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
"","LHIPQC","UCSFFSL51Y1","Longitudinal FreeSurfer (5.1) - Year 1 Base Image","-4","QC rating of the left hippocampal subfields. Fail affects the following regions: Left CA1 (ST131HS); Left CA2-3 (ST132HS); Left CA4-DG (ST133HS); Left Fimbria (ST134HS); Left Hippocampal Fissure (ST135HS); Left Presubiculum (ST136HS); Left Subiculum (ST137HS); Left Tail (ST138HS) ","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-02-04 16:01:05.0"
