"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Participant roster ID","-4","-4","T","","","","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","VISCODE","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Visit code","-4","-4","T","","","","-4","-4","","","","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","VISCODE2","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","FLDSTRENG","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","The field strength. 1.5 or 3","-4","-4","D","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","EXAMDATE","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","The scan date for the image processed","-4","-4","D","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","LONISID","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","The LONI study UID for the image processed","-4","-4","T","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","LONIUID","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","The LONI series UID for the image processed.","-4","-4","T","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","IMAGEUID","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","The ImageUID for the image processed.","-4","-4","T","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","RUNDATE","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
"","VERSION","UCSFFSL","Longitudinal FreeSurfer (FreeSurfer Version 4.4)","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2013-11-06 08:50:25.0"
