"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Participant roster ID","-4","-4","T","","","","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","VISCODE","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Visit code","-4","-4","T","","","","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","EXAMDATE","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","The scan date for the image processed","-4","-4","D","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","VERSION","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","FLDSTRENG","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","The field strength. 1.5 or 3","-4","-4","D","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","LONISID","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","The LONI study UID for the image processed","-4","-4","T","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","LONIUID","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","The LONI series UID for the image processed.","-4","-4","T","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","IMAGEUID","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","The ImageUID for the image processed.","-4","-4","T","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","RUNDATE","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","","-4","-4","D","","","","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","STATUS","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","","-4","-4","T","","","complete/partial","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","OVERALLQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","An overall quality rating. Refer to additional QC variables for Partial rating.","-4","-4","T","","","","-4","-4","","Pass/Fail/Partial","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","TEMPQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","QC rating of temporal lobe. Fail affects the following regions: LeftTemporalPole (ST60); RightTemporalPole (ST119); LeftFusiform (ST26); RightFusiform (ST85); LeftSuperiorTemporal (ST58); RightSuperiorTemporal (ST117); LeftInferiorTemporal (ST32); RightInferiorTemporal (ST91); LeftMiddleTemporal (ST40); RightMiddleTemporal (ST99)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","FRONTQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","QC rating of the frontal lobe. Fail affects the following regions: LeftFrontalPole (ST25); RightFrontalPole (ST84); LeftPrecentral (ST51); RightPrecentral (ST110); LeftSuperiorFrontal (ST56); RightSuperiorFrontal (ST115); LeftCaudalMiddleFrontal (ST15); RightCaudalMiddleFrontal (ST74); LeftRostralMiddleFrontal (ST55); RightRostralMiddleFrontal (ST114); LeftMedialOrbitofrontal (ST39); RightMedialOrbitofrontal (ST98)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","PARQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","QC rating of the parietal lobe. Fail affects the following regions: LeftPostcentral (ST49); RightPostcentral (ST108); LeftSuperiorParietal (ST57); RightSuperiorParietal (ST116); LeftSupraMarginal (ST59); RightSupraMarginal (ST118); LeftParacentral (ST43); RightParacentral (ST102); LeftInferiorParietal (ST31); RightInferiorParietal (ST90)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","INSULAQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","QC rating of the insula. Fail affects the following regions: LeftInsula (ST129); RightInsula (ST130)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","OCCQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","QC rating of the occipital lobe. Fail affects the following regions: LeftLingual (ST38); RightLingual (ST97); LeftLateralOccipital (ST35); RightLateralOccipital (ST94); LeftPericalcarine (ST48); RightPericalcarine (ST107); LeftCuneus (ST23); RightCuneus (ST82)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","BGQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","QC rating of the basal ganglia. Fail affects the following regions: LeftPutamen (ST53); RightPutamen (ST112); LeftCaudate (ST16); RightCaudate (ST75); LeftPallidum (ST42); RightPallidum (ST101)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","CWMQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","QC rating of the cerebral WM. Fail affects the following regions: LeftCerebralWM (ST20); RightCerebralWM (ST79)","-4","-4","T","","","","-4","-4","","Pass/Fail","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","VENTQC","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","QC rating of the ventricles. Fail affects the following regions: LeftLateralVentricle (ST37); RightLateralVentricle (ST96); LeftInferiorLateralVentricle (ST30); RightInferiorLateralVentricle (ST89); ThirdVentricle (ST127); FourthVentricle (ST9); FifthVentrical (ST8); LeftChoroidPlexus (ST21); RightChoroidPlexus (ST80)","-4","-4","T","","","Pass/Fail","-4","-4","","","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST100SV","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Volume (WM Parcellation) of RightNonWMHypoIntensities","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST101SV","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Volume (WM Parcellation) of RightPallidum","-4","-4","N","8","1","","-4","-4","mm3","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST102CV","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Volume (Cortical Parcellation) of RightParacentral","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST102SA","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Surface Area of RightParacentral","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST102TA","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Cortical Thickness Average of RightParacentral","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST102TS","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Cortical Thickness Standard Deviation of RightParacentral","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST103CV","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Volume (Cortical Parcellation) of RightParahippocampal","-4","-4","N","5","0","","-4","-4","mm3","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST103SA","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Surface Area of RightParahippocampal","-4","-4","N","5","0","","-4","-4","mm2","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
"-4","ST103TA","UCSFFSX","Cross-Sectional FreeSurfer (FreeSurfer Version 4.3)","-4","Cortical Thickness Average of RightParahippocampal","-4","-4","N","4","3","","-4","-4","mm","","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2014-08-04 07:38:52.0"
